[03-20 10:05:30.482][QTXdmaApiInterface::Func_QTXdmaReadRegister], base 0x3000, offset 0x0
[03-20 10:05:30.482][QTXdmaApiInterface::Func_QTXdmaReadRegister], base 0x3000, offset 0x4
[03-20 10:05:30.482][QTXdmaApiInterface::Func_QTXdmaReadRegister], base 0x3000, offset 0xc
[03-20 10:05:30.482][QTXdmaApiInterface::Func_QTXdmaReadRegister], base 0x3000, offset 0x20
[03-20 10:05:30.482][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x10, value 0x0
[03-20 10:05:30.482][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x10, value 0x1
[03-20 10:05:30.483][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x10, value 0x0
[03-20 10:05:30.483][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x1000, offset 0x0, value 0x0
[03-20 10:05:30.483][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x1000, offset 0x20, value 0x0
[03-20 10:05:30.484][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:05:30.484][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x1
[03-20 10:05:30.484][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:05:30.484][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x18, value 0x0
[03-20 10:05:30.484][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x18, value 0x1
[03-20 10:05:30.484][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x18, value 0x0
[03-20 10:05:32.819][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x7000, offset 0x28, value 0x0
[03-20 10:05:32.819][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x7000, offset 0x2c, value 0x1
[03-20 10:05:32.819][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x7000, offset 0x30, value 0x0
[03-20 10:05:32.819][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x7000, offset 0x30, value 0x1
[03-20 10:05:32.820][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x7000, offset 0x30, value 0x0
[03-20 10:05:34.921][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x7000, offset 0x38, value 0x1
[03-20 10:05:36.769][QTXdmaApiInterface::Func_QTXdmaReadRegister], base 0x2000, offset 0x4
[03-20 10:05:47.577][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x7000, offset 0x0, value 0x1
[03-20 10:05:47.577][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x7000, offset 0x4, value 0x0
[03-20 10:05:47.577][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x7000, offset 0x8, value 0x989680
[03-20 10:05:47.577][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x7000, offset 0xc, value 0xa
[03-20 10:05:47.577][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x7000, offset 0x10, value 0x1
[03-20 10:05:49.941][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x1000, offset 0x14, value 0x400000
[03-20 10:05:49.941][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x7000, offset 0x34, value 0x1f4040
[03-20 10:05:49.941][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x1000, offset 0x18, value 0x1388200
[03-20 10:05:49.941][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x1000, offset 0x1c, value 0x1388200
[03-20 10:05:49.941][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x1000, offset 0x4, value 0x0
[03-20 10:05:49.941][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x1000, offset 0x8, value 0x0
[03-20 10:05:49.942][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x1000, offset 0xc, value 0x0
[03-20 10:05:49.942][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x1000, offset 0x10, value 0x1
[03-20 10:05:49.942][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x1000, offset 0x0, value 0x1
[03-20 10:05:49.942][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x1000, offset 0x20, value 0x0
[03-20 10:05:49.942][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x0, value 0x1
[03-20 10:05:49.943][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x8, value 0x0
[03-20 10:05:49.943][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x8, value 0x1
[03-20 10:05:49.943][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x8, value 0x0
[03-20 10:05:50.877][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:05:50.877][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x1
[03-20 10:05:50.877][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:05:51.877][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:05:51.877][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x1
[03-20 10:05:51.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:05:52.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:05:52.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x1
[03-20 10:05:52.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:05:53.877][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:05:53.877][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x1
[03-20 10:05:53.877][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:05:54.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:05:54.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x1
[03-20 10:05:54.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:05:55.877][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:05:55.877][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x1
[03-20 10:05:55.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:05:56.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:05:56.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x1
[03-20 10:05:56.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:05:57.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:05:57.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x1
[03-20 10:05:57.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:05:58.877][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:05:58.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x1
[03-20 10:05:58.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:05:59.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:05:59.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x1
[03-20 10:05:59.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:00.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:00.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x1
[03-20 10:06:00.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:01.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:01.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x1
[03-20 10:06:01.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:02.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:02.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x1
[03-20 10:06:02.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:03.877][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:03.877][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x1
[03-20 10:06:03.877][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:04.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:04.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x1
[03-20 10:06:04.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:05.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:05.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x1
[03-20 10:06:05.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:06.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:06.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x1
[03-20 10:06:06.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:07.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:07.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x1
[03-20 10:06:07.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:08.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:08.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x1
[03-20 10:06:08.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:09.877][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:09.877][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x1
[03-20 10:06:09.877][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:10.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
[03-20 10:06:10.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x1
[03-20 10:06:10.878][QTXdmaApiInterface::Func_QTXdmaWriteRegister], base 0x6000, offset 0x4, value 0x0
